data_inicio,nome,id_chamado
02/01,Penha Circular,11
02/01,Piedade,28
02/01,Pilares,8
02/01,Pitangueiras,5
02/01,Portuguesa,6
02/01,Praia da Bandeira,1
02/01,Praça Seca,27
02/01,Praça da Bandeira,4
02/01,Quintino Bocaiúva,21
02/01,Ramos,26
02/01,Realengo,62
02/01,Recreio dos Bandeirantes,72
02/01,Riachuelo,5
02/01,Ribeira,2
02/01,Ricardo de Albuquerque,9
02/01,Rio Comprido,4
02/01,Rocha,1
02/01,Rocha Miranda,38
02/01,Sampaio,2
02/01,Santa Cruz,70
02/01,Santa Teresa,10
02/01,Santo Cristo,1
02/01,Santíssimo,24
02/01,Senador Camará,9
02/01,Senador Vasconcelos,9
02/01,Sepetiba,25
02/01,São Conrado,6
02/01,São Cristóvão,16
02/01,Tanque,8
02/01,Taquara,70
02/01,Tauá,6
02/01,Tijuca,67
02/01,Todos os Santos,7
02/01,Tomás Coelho,5
02/01,Turiaçú,20
02/01,Urca,14
02/01,Vargem Grande,7
02/01,Vargem Pequena,5
02/01,Vasco da Gama,3
02/01,Vaz Lobo,6
02/01,Vicente de Carvalho,4
02/01,Vidigal,2
02/01,Vigário Geral,6
02/01,Vila Isabel,35
02/01,Vila Kosmos,6
02/01,Vila Militar,5
02/01,Vila Valqueire,28
02/01,Vila da Penha,14
02/01,Vista Alegre,9
02/01,Zumbi,1
02/01,Água Santa,2
02/02,Abolição,11
02/02,Acari,5
02/02,Alto da Boa Vista,5
02/02,Anchieta,13
02/02,Andaraí,19
02/02,Anil,19
02/02,Bancários,9
02/02,Bangu,95
02/02,Barra da Tijuca,107
02/02,Barra de Guaratiba,3
02/02,Benfica,7
02/02,Bento Ribeiro,30
02/02,Bonsucesso,17
02/02,Botafogo,73
02/02,Brás de Pina,19
02/02,Cachambi,18
02/02,Cacuia,12
02/02,Caju,8
02/02,Camorim,1
02/02,Campinho,3
02/02,Campo Grande,197
02/02,Cascadura,16
02/02,Catete,11
02/02,Catumbi,5
02/02,Cavalcanti,3
02/02,Centro,96
02/02,Cidade Nova,18
02/02,Cidade de Deus,10
02/02,Cocotá,5
02/02,Coelho Neto,10
02/02,Colégio,5
02/02,Complexo do Alemão,2
02/02,Copacabana,96
02/02,Cordovil,9
02/02,Cosme Velho,3
02/02,Cosmos,24
02/02,Costa Barros,3
02/02,Curicica,24
02/02,Del Castilho,13
02/02,Deodoro,6
02/02,Encantado,10
02/02,Engenho Novo,39
02/02,Engenho da Rainha,7
02/02,Engenho de Dentro,48
02/02,Estácio,6
02/02,Flamengo,27
02/02,Freguesia (Ilha),4
02/02,Freguesia (Jacarepaguá),26
02/02,Galeão,6
02/02,Gamboa,2
02/02,Gardênia Azul,6
02/02,Gericinó,1
02/02,Glória,13
02/02,Grajaú,35
02/02,Guadalupe,22
02/02,Guaratiba,36
02/02,Gávea,12
02/02,Higienópolis,2
02/02,Honório Gurgel,6
02/02,Humaitá,28
02/02,Ilha de Guaratiba,4
02/02,Inhaúma,12
02/02,Inhoaíba,12
02/02,Ipanema,34
02/02,Irajá,55
02/02,Itanhangá,17
02/02,Jacarepaguá,32
02/02,Jacarezinho,2
02/02,Jacaré,2
02/02,Jardim América,13
02/02,Jardim Botânico,15
02/02,Jardim Carioca,11
02/02,Jardim Guanabara,19
02/02,Jardim Sulacap,11
02/02,Joá,3
02/02,Lagoa,5
02/02,Lapa,12
02/02,Laranjeiras,32
02/02,Leblon,18
02/02,Leme,2
02/02,Lins de Vasconcelos,11
02/02,Madureira,24
02/02,Magalhães Bastos,12
02/02,Mangueira,2
02/02,Manguinhos,11
02/02,Maracanã,40
02/02,Marechal Hermes,31
02/02,Maria da Graça,9
02/02,Maré,1
02/02,Moneró,4
02/02,Méier,36
02/02,Olaria,27
02/02,Osvaldo Cruz,27
02/02,Paciência,27
02/02,Padre Miguel,37
02/02,Paquetá,2
02/02,Parada de Lucas,5
02/02,Parque Anchieta,11
02/02,Parque Colúmbia,1
02/02,Pavuna,18
02/02,Pechincha,35
02/02,Pedra de Guaratiba,16
02/02,Penha,36
02/02,Penha Circular,30
02/02,Piedade,31
02/02,Pilares,22
02/02,Pitangueiras,3
02/02,Portuguesa,6
02/02,Praia da Bandeira,2
02/02,Praça Seca,24
02/02,Praça da Bandeira,6
02/02,Quintino Bocaiúva,13
02/02,Ramos,17
02/02,Realengo,69
02/02,Recreio dos Bandeirantes,75
02/02,Riachuelo,7
02/02,Ribeira,5
02/02,Ricardo de Albuquerque,9
02/02,Rio Comprido,19
02/02,Rocha,7
02/02,Rocha Miranda,19
02/02,Rocinha,1
02/02,Sampaio,5
02/02,Santa Cruz,51
02/02,Santa Teresa,25
02/02,Santo Cristo,7
02/02,Santíssimo,16
02/02,Saúde,4
02/02,Senador Camará,13
02/02,Senador Vasconcelos,9
02/02,Sepetiba,22
02/02,São Conrado,7
02/02,São Cristóvão,13
02/02,São Francisco Xavier,8
02/02,Tanque,12
02/02,Taquara,88
02/02,Tauá,9
02/02,Tijuca,119
02/02,Todos os Santos,22
02/02,Tomás Coelho,7
02/02,Turiaçú,2
02/02,Urca,5
02/02,Vargem Grande,6
02/02,Vargem Pequena,5
02/02,Vasco da Gama,8
02/02,Vaz Lobo,2
02/02,Vicente de Carvalho,39
02/02,Vidigal,5
02/02,Vigário Geral,11
02/02,Vila Isabel,57
02/02,Vila Kennedy,6
02/02,Vila Kosmos,9
02/02,Vila Militar,3
02/02,Vila Valqueire,29
